Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"Walgreens 11633",-71.695969,41.513424,"1209 Main St","PO Box 250","Wyoming","RI","02898","0250","WASHINGTON" 
"Below Cost 1",-71.472321,41.788956,"480 Atwood Ave","","Cranston","RI","02920","5301","PROVIDENCE" 
"Three Flags Bakery",-71.388344,41.897018,"1255 Broad St","","Central Falls","RI","02863","1001","PROVIDENCE" 
"7-Eleven 23880C 23880C",-71.305878,41.483204,"29 Memorial Blvd","","Newport","RI","02840","3637","NEWPORT" 
"Toms Market",-71.278259,41.729958,"137 Child St","","Warren","RI","02885","2704","BRISTOL" 
"JD Convenience",-71.315018,41.48811,"202 Thames St","Unit 1","Newport","RI","02840","6600","NEWPORT" 
"Matos Bakery Inc 2",-71.52404,41.704697,"1236 Main St","","West Warwick","RI","02893","4828","KENT" 
"Take & Bake Express",-71.4925,42.000427,"413 Cumberland Hill Rd","","Woonsocket","RI","02895","","PROVIDENCE" 
"Andellas Boulevard Meats",-71.350075,41.877518,"627 Armistice Blvd","","Pawtucket","RI","02861","2649","PROVIDENCE" 
"Sandras Meat Market",-71.370987,41.812267,"1024 S Broadway","","East Providence","RI","02914","4713","PROVIDENCE" 
"LEO'S MARKET LLC",-71.309517,41.493885,"162 Broadway","","Newport","RI","02840","2747","NEWPORT" 
"Sikay Lao Thai Market",-71.438782,41.832493,"952 Chalkstone Ave","","Providence","RI","02908","4203","PROVIDENCE" 
"Polonia Market",-71.372139,41.892891,"736 Broadway","","Pawtucket","RI","02861","1027","PROVIDENCE" 
